                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.72019,                 1.5588,                 0.7414,                 1.0181,                0.41976,                0.15872,                0.15231,                0.11541,                0.47981,                0.13886,                0.13617,                0.09591,                 1.3774,                  3.759,                 2.1902,                 1.5523,             0.00024568,             0.00024568,             0.00024568
                     86,                0.73537,                 1.5828,                0.75025,                 1.0328,                0.43189,                0.15824,                0.15355,                0.11546,                0.42997,                0.14366,                  0.139,                0.09489,                 1.4069,                 3.9169,                 2.2536,                 1.5774,             0.00024361,             0.00024361,             0.00024361
                     87,                0.70259,                 1.5356,                0.71849,                 1.0154,                0.42094,                0.15822,                 0.1497,                0.11237,                0.42698,                0.13953,                 0.1337,                0.09221,                 1.4194,                 3.9916,                 2.2835,                 1.6128,             0.00024155,             0.00024155,             0.00024155
                     88,                0.72181,                  1.553,                0.72641,                 1.0204,                0.45989,                0.15505,                0.14986,                0.11051,                0.41476,                0.13971,                 0.1321,                0.09218,                 1.4144,                 3.9721,                 2.3334,                 1.6062,             0.00023948,             0.00023948,             0.00023948
                     89,                0.69446,                 1.5271,                0.70123,                 1.0146,                  0.464,                0.15983,                0.15714,                  0.117,                0.47381,                0.14298,                0.14074,                0.09698,                 1.4333,                 3.9102,                 2.3041,                  1.621,             0.00023742,             0.00023742,             0.00023742
                     90,                0.71563,                 1.5602,                0.72208,                 1.0169,                0.41887,                0.16411,                0.15197,                0.11324,                0.37814,                0.15062,                0.13479,                0.09404,                 1.4323,                 3.9475,                 2.2998,                 1.6155,             0.00023535,             0.00023535,             0.00023535
                     91,                0.70224,                 1.5512,                0.71434,                 1.0121,                0.46373,                0.14768,                0.15059,                0.11252,                0.43226,                 0.1382,                0.13478,                0.09437,                 1.4562,                 3.8796,                 2.4122,                 1.6234,             0.00023329,             0.00023329,             0.00023329
                     92,                 0.6943,                 1.5411,                0.69809,                 1.0057,                0.50089,                0.14537,                0.15355,                0.11595,                0.45897,                0.13758,                0.13913,                0.09705,                 1.4508,                 3.9808,                 2.2979,                 1.6335,             0.00023123,             0.00023123,             0.00023123
                     93,                0.69498,                 1.5504,                0.69658,                 1.0008,                0.41142,                0.15863,                0.15743,                0.11643,                0.43673,                0.14061,                0.14101,                0.09788,                 1.4285,                 3.8877,                 2.2631,                 1.6201,             0.00022916,             0.00022916,             0.00022916
                     94,                0.70467,                 1.5213,                0.70016,                 1.0034,                0.46376,                0.15528,                0.15575,                 0.1179,                0.43089,                0.14321,                0.14061,                0.09869,                  1.395,                 3.9334,                 2.3363,                 1.5658,              0.0002271,              0.0002271,              0.0002271
                     95,                0.69777,                 1.5218,                0.69794,                 1.0025,                0.45621,                 0.1525,                0.15556,                0.11572,                0.41433,                0.13989,                0.13695,                0.09463,                 1.4013,                 4.0346,                 2.2767,                 1.5823,             0.00022503,             0.00022503,             0.00022503
                     96,                0.68899,                 1.4917,                0.68488,                 1.0075,                0.47316,                0.15615,                0.15789,                0.11911,                0.45541,                0.14124,                0.13969,                0.09825,                 1.4272,                 4.0281,                  2.352,                 1.5879,             0.00022297,             0.00022297,             0.00022297
                     97,                0.68565,                  1.508,                0.68854,                 1.0035,                0.47358,                0.15925,                0.15628,                0.11549,                0.43666,                0.14079,                0.13595,                0.09578,                 1.4194,                 3.9987,                 2.3033,                 1.5972,             0.00022091,             0.00022091,             0.00022091
                     98,                0.69417,                 1.5201,                 0.6759,                 1.0054,                0.48369,                0.15683,                0.15973,                 0.1196,                0.44759,                0.14409,                0.14184,                0.10139,                 1.4327,                  3.905,                 2.2413,                 1.6177,             0.00021884,             0.00021884,             0.00021884
