                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.3109,                 2.8816,                 2.0088,                0.98864,                0.72452,                0.33451,                0.37337,                0.28359,                0.70416,                 0.3227,                0.35254,                0.23122,                 1.3586,                 3.2123,                 1.9673,                0.96995,              0.0091027,              0.0091027,              0.0091027
                     57,                  1.329,                 2.9376,                 2.0324,                0.99446,                0.74806,                 0.3442,                0.38832,                0.29192,                0.71283,                0.33106,                0.36346,                0.23859,                  1.349,                 3.1854,                 1.8768,                0.97444,              0.0090823,              0.0090823,              0.0090823
                     58,                 1.3099,                 2.8864,                 1.9944,                0.98944,                0.77186,                0.34106,                0.38873,                 0.2919,                 0.7551,                0.33086,                0.37003,                0.23772,                 1.3434,                 3.1907,                 1.8728,                0.96397,               0.009062,               0.009062,               0.009062
                     59,                 1.3006,                 2.9114,                 1.9844,                0.98572,                0.71731,                0.34849,                0.38678,                0.29426,                0.69604,                0.33835,                0.36703,                0.24182,                 1.3298,                 3.1745,                 1.8679,                0.96289,              0.0090417,              0.0090417,              0.0090417
                     60,                 1.2878,                 2.8475,                 1.9238,                0.97926,                0.73605,                0.34462,                0.38485,                0.29023,                0.75066,                0.32543,                0.36369,                0.23727,                 1.3401,                 3.2156,                 1.8898,                0.96709,              0.0090214,              0.0090214,              0.0090214
                     61,                 1.2866,                  2.837,                  1.954,                0.98181,                0.75457,                 0.3314,                0.37989,                0.28859,                0.73344,                0.32211,                0.36002,                0.23256,                 1.3544,                 3.1749,                 1.9281,                0.97503,              0.0090011,              0.0090011,              0.0090011
                     62,                 1.2985,                 2.8647,                  1.992,                0.98604,                0.73986,                0.35682,                 0.3939,                0.29974,                0.73471,                0.34112,                0.37275,                0.24545,                 1.3317,                 3.1831,                  1.845,                0.96197,              0.0089807,              0.0089807,              0.0089807
                     63,                 1.2869,                 2.8491,                 1.9674,                0.97915,                0.70741,                0.35177,                0.39111,                0.29657,                0.68864,                0.34016,                 0.3707,                0.24121,                  1.321,                 3.1743,                 1.8518,                0.95385,              0.0089604,              0.0089604,              0.0089604
                     64,                 1.2943,                 2.8779,                 1.9381,                0.97972,                0.73179,                0.35416,                0.39355,                0.29863,                0.72361,                 0.3397,                0.37196,                0.24116,                 1.3078,                 3.1949,                  1.834,                0.95235,              0.0089401,              0.0089401,              0.0089401
                     65,                 1.2783,                 2.8617,                 1.9332,                0.97211,                0.76574,                0.36046,                0.40239,                0.30984,                0.74002,                0.34673,                0.38094,                0.25407,                 1.2903,                 3.1251,                 1.7744,                0.94299,              0.0089198,              0.0089198,              0.0089198
                     66,                  1.281,                 2.8369,                 1.8964,                0.97526,                0.74045,                0.36274,                0.40024,                0.30818,                0.70942,                 0.3505,                0.37907,                 0.2525,                 1.2947,                 3.1546,                 1.7928,                0.95075,              0.0088995,              0.0088995,              0.0088995
                     67,                 1.2989,                 2.8815,                 1.9384,                0.98235,                0.75797,                0.35435,                 0.3959,                0.30138,                0.75762,                0.33671,                0.37244,                0.24534,                 1.3042,                 3.1856,                 1.7954,                0.95171,              0.0088791,              0.0088791,              0.0088791
                     68,                 1.2653,                 2.8334,                 1.8804,                0.97011,                0.75327,                0.35604,                0.39816,                0.30608,                 0.7485,                0.34124,                0.38029,                0.24967,                 1.2931,                 3.1089,                 1.7815,                0.93689,              0.0088588,              0.0088588,              0.0088588
                     69,                 1.2622,                 2.8069,                 1.8532,                0.96909,                0.72408,                0.36442,                0.40141,                 0.3085,                0.72395,                0.34974,                0.38096,                0.24939,                 1.2771,                 3.1019,                 1.7563,                0.93654,              0.0088385,              0.0088385,              0.0088385
                     70,                 1.2775,                 2.8292,                 1.8982,                0.96867,                0.76537,                0.35695,                0.40207,                0.30682,                0.76779,                0.34258,                0.38364,                0.25144,                 1.3055,                 3.0895,                 1.7748,                0.94541,              0.0088182,              0.0088182,              0.0088182
                     71,                 1.2742,                 2.8453,                 1.8738,                0.97158,                0.76904,                0.36267,                0.40083,                 0.3096,                0.74725,                0.34891,                0.38229,                0.25249,                 1.2892,                 3.1137,                 1.7671,                0.94064,              0.0087978,              0.0087978,              0.0087978
                     72,                 1.2479,                  2.803,                 1.8348,                 0.9644,                 0.7759,                0.35985,                0.40262,                0.31104,                0.75694,                0.34662,                0.37964,                0.25313,                 1.2838,                 3.1218,                 1.7794,                0.94357,              0.0087775,              0.0087775,              0.0087775
                     73,                  1.256,                 2.8003,                 1.8431,                0.96285,                0.79804,                0.35626,                0.40435,                0.30855,                0.77247,                0.34595,                0.38493,                0.25137,                 1.2924,                 3.0942,                 1.7721,                0.94335,              0.0087572,              0.0087572,              0.0087572
                     74,                 1.2646,                 2.8087,                 1.8684,                  0.968,                0.78873,                0.36268,                  0.409,                 0.3137,                0.75583,                0.34984,                0.38876,                0.25737,                 1.2795,                 3.0614,                 1.7231,                 0.9387,              0.0087369,              0.0087369,              0.0087369
